order_id,customer_id,product,category,sales,quantity,region,date,discount,customer_type
ORD-025,CUST-606,LED Strip Lights,Home,19.99,3,West,2024-02-05,0.0,Returning
ORD-026,CUST-124,Noise Cancelling Earbuds,Electronics,159.99,1,North,2024-02-06,0.05,New
ORD-027,CUST-125,Dumbbells Set,Sports,199.99,1,South,2024-02-07,0.0,New
ORD-028,CUST-707,Toaster Oven,Kitchen,69.99,1,East,2024-02-08,0.1,Returning
ORD-029,CUST-127,Vitamin C Supplements,Health,24.99,2,West,2024-02-09,0.0,New
ORD-030,CUST-128,Sticky Notes Bulk,Stationery,9.99,5,North,2024-02-10,0.0,New
ORD-031,CUST-808,Tablet Stand,Electronics,29.99,2,South,2024-02-11,0.0,Returning
ORD-032,CUST-130,Ceramic Cookware Set,Kitchen,149.99,1,East,2024-02-12,0.05,New
ORD-033,CUST-131,Jump Rope,Sports,14.99,2,West,2024-02-13,0.0,New
ORD-034,CUST-101,Fantasy Novel,Books,16.99,1,North,2024-02-14,0.0,Returning
ORD-035,CUST-133,Smart Plug 4-pack,Home,34.99,1,South,2024-02-15,0.1,New
ORD-036,CUST-202,Laptop Cooling Pad,Electronics,49.99,1,East,2024-02-16,0.0,Returning
ORD-037,CUST-135,Cycling Gloves,Sports,29.99,1,West,2024-02-17,0.0,New
ORD-038,CUST-136,Coffee Grinder,Kitchen,44.99,1,North,2024-02-18,0.15,New
ORD-039,CUST-137,Omega-3 Fish Oil,Health,19.99,3,South,2024-02-19,0.0,New
ORD-040,CUST-138,Gel Pens 12-pack,Stationery,14.99,2,East,2024-02-20,0.0,New
ORD-041,CUST-303,Mechanical Keyboard,Electronics,149.99,1,West,2024-03-01,0.0,Returning
ORD-042,CUST-140,Tennis Racket,Sports,89.99,1,North,2024-03-02,0.05,New
ORD-043,CUST-141,Rice Cooker,Kitchen,49.99,1,South,2024-03-03,0.0,New
ORD-044,CUST-142,Self-Help Book,Books,18.99,1,East,2024-03-04,0.0,New
ORD-045,CUST-404,Smart Bulbs 4-pack,Home,44.99,1,West,2024-03-05,0.1,Returning
ORD-046,CUST-909,Wireless Charger,Electronics,35.99,2,North,2024-03-06,0.0,Returning
ORD-047,CUST-145,Protein Bars 12-pack,Health,29.99,2,South,2024-03-07,0.0,New
ORD-048,CUST-146,Spiral Notebooks 3-pack,Stationery,17.99,1,East,2024-03-08,0.0,New
ORD-049,CUST-147,Pool Floaties,Sports,19.99,3,West,2024-03-09,0.2,New
ORD-050,CUST-148,Electric Kettle,Kitchen,39.99,1,North,2024-03-10,0.0,New
ORD-051,CUST-505,Smart Watch,Electronics,199.99,1,South,2024-03-11,0.05,Returning
ORD-052,CUST-606,Curtain Rods,Home,24.99,2,East,2024-03-12,0.0,Returning
ORD-053,CUST-151,Swim Goggles,Sports,22.99,2,West,2024-03-13,0.0,New
ORD-054,CUST-152,Cookbook Collection,Books,54.99,1,North,2024-03-14,0.1,New
ORD-055,CUST-707,Gaming Headset,Electronics,99.99,1,South,2024-03-15,0.0,Returning
ORD-056,CUST-154,Meal Prep Containers,Kitchen,34.99,2,East,2024-03-16,0.0,New
ORD-057,CUST-155,Creatine Monohydrate,Health,34.99,1,West,2024-03-17,0.0,New
ORD-058,CUST-101,Mechanical Pencils 6-pack,Stationery,12.99,2,North,2024-03-18,0.0,Returning
ORD-059,CUST-157,Badminton Set,Sports,59.99,1,South,2024-03-19,0.05,New
ORD-060,CUST-808,Portable Blender,Kitchen,44.99,1,East,2024-03-20,0.1,Returning
ORD-061,CUST-159,Wireless Headphones,Electronics,129.99,1,North,2024-04-01,0.0,New
ORD-062,CUST-160,Boxing Gloves,Sports,49.99,1,South,2024-04-02,0.0,New
ORD-063,CUST-202,Slow Cooker,Kitchen,64.99,1,East,2024-04-03,0.15,Returning
ORD-064,CUST-162,Biography Book,Books,22.99,1,West,2024-04-04,0.0,New
ORD-065,CUST-163,Throw Pillows 4-pack,Home,49.99,1,North,2024-04-05,0.0,New
ORD-066,CUST-164,Portable SSD 1TB,Electronics,89.99,1,South,2024-04-06,0.0,New
ORD-067,CUST-303,Pre-workout Powder,Health,44.99,1,East,2024-04-07,0.1,Returning
ORD-068,CUST-166,Highlighters 10-pack,Stationery,8.99,3,West,2024-04-08,0.0,New
ORD-069,CUST-167,Frisbee,Sports,12.99,2,North,2024-04-09,0.0,New
ORD-070,CUST-168,Waffle Maker,Kitchen,39.99,1,South,2024-04-10,0.0,New
ORD-071,CUST-404,Smart TV 43-inch,Electronics,349.99,1,East,2024-04-11,0.05,Returning
ORD-072,CUST-505,Area Rug,Home,89.99,1,West,2024-04-12,0.1,Returning
ORD-073,CUST-171,Multivitamins,Health,22.99,2,North,2024-04-13,0.0,New
ORD-074,CUST-909,Colored Pencils 48,Stationery,16.99,1,South,2024-04-14,0.0,Returning
ORD-075,CUST-173,Tennis Balls 12-pack,Sports,19.99,2,East,2024-04-15,0.0,New
ORD-076,CUST-174,Stand Mixer,Kitchen,199.99,1,West,2024-04-16,0.0,New
ORD-077,CUST-606,Webcam HD,Electronics,69.99,1,North,2024-04-17,0.0,Returning
ORD-078,CUST-176,Wall Art Canvas,Home,39.99,2,South,2024-04-18,0.0,New
ORD-079,CUST-177,BCAA Powder,Health,32.99,1,East,2024-04-19,0.05,New
ORD-080,CUST-178,Desk Organizer,Stationery,22.99,1,West,2024-04-20,0.0,New
